2019-09-19,Positive ID,49.149394,-123.943134
2019-09-20,Unverified,47.036497,-122.74267
2019-09-20,Unverified,47.718207,-122.237169
2019-09-21,Unverified,48.203173,-122.127783
2019-09-30,Positive ID,48.993892,-122.702242
2019-09-30,Unverified,48.66002,-123.396765
2019-10-11,Unverified,47.658029,-117.754412
2019-10-15,Unverified,47.497675,-122.091131
2019-10-15,Unverified,48.986176,-122.69745
2019-10-20,Unverified,47.764431,-122.361745
2019-10-30,Unverified,48.786349,-122.550631
2019-10-30,Unverified,47.241065,-122.269603
2019-10-30,Positive ID,48.971949,-122.700941
2019-11-03,Unverified,47.464119,-122.285262
2019-11-13,Positive ID,49.025831,-122.810653
2019-11-26,Unverified,47.46499,-122.2869
2019-12-08,Positive ID,48.980994,-122.688503
2019-12-22,Unverified,47.77475,-122.213725
2020-01-15,Unverified,48.9392,-122.6613
2020-02-12,Unverified,47.072951,-122.97706
2020-02-27,Unverified,47.411352,-122.318568
2020-02-29,Negative ID,48.729596,-122.480035
2020-03-01,Unverified,47.53754,-122.639263
2020-03-01,Unverified,47.091218,-122.864415
2020-03-01,Unverified,48.186024,-122.34468
2020-03-02,Negative ID,48.550103,-119.741725
2020-03-04,Negative ID,47.634119,-122.646627
2020-03-11,Unverified,46.978763,-123.898467
2020-03-16,Unverified,48.419995,-122.33213
2020-03-17,Unverified,47.181077,-122.117608
2020-03-19,Negative ID,47.840041,-122.323562
2020-03-20,Unverified,48.93401,-122.48545
2020-03-21,Unverified,47.639334,-122.200484
2020-03-21,Unverified,48.725174,-122.503141
2020-03-21,Unverified,48.833578,-122.543569
2020-03-21,Unverified,47.30134,-122.565146
2020-03-23,Negative ID,48.74361,-122.43905
2020-03-23,Unverified,47.240541,-122.321905
2020-03-24,Unverified,46.292763,-119.145959
2020-03-24,Unverified,48.077702,-123.170761
2020-03-26,Unverified,48.490758,-122.061753
2020-03-27,Unverified,47.936452,-122.137477
2020-03-29,Unverified,46.631711,-123.95339
